Single Precision: Infinite Series summation of 1/n
Iteration	Residual	sum
10000		1.021700e-05	 9.787613
20000		4.770648e-06	10.480757
30000		3.061991e-06	10.886164
40000		2.237367e-06	11.173846
50000		1.754860e-06	11.396922
60000		1.439317e-06	11.579570
70000		1.217536e-06	11.733302
80000		1.053359e-06	11.866804
90000		9.270886e-07	11.984951
100000		8.270716e-07	12.090851
110000		7.459992e-07	12.186218
120000		6.790301e-07	12.272408
130000		6.227628e-07	12.351907
140000		5.747382e-07	12.428020
150000		5.335563e-07	12.494777
160000		4.975507e-07	12.561534
170000		4.661131e-07	12.620012
180000		4.382309e-07	12.677233
190000		4.133007e-07	12.734453
200000		3.911519e-07	12.782757
210000		3.711412e-07	12.830441
220000		3.529594e-07	12.878124
230000		3.363678e-07	12.925808
240000		3.213327e-07	12.966831
250000		3.075745e-07	13.004978
260000		2.948798e-07	13.043125
270000		2.831302e-07	13.081272
280000		2.722246e-07	13.119419
290000		2.620755e-07	13.157566
300000		2.526147e-07	13.195325
310000		2.439370e-07	13.223935
320000		2.358038e-07	13.252545
330000		2.281656e-07	13.281156
340000		2.209788e-07	13.309766
350000		2.142047e-07	13.338376
360000		2.078088e-07	13.366986
370000		2.017605e-07	13.395597
380000		1.960324e-07	13.424207
390000		1.905997e-07	13.452817
400000		1.854403e-07	13.481427
410000		1.805342e-07	13.510037
420000		1.758704e-07	13.538104
430000		1.715388e-07	13.557178
440000		1.674046e-07	13.576251
450000		1.634549e-07	13.595325
460000		1.596775e-07	13.614398
470000		1.560615e-07	13.633471
480000		1.525967e-07	13.652545
490000		1.492739e-07	13.671618
500000		1.460847e-07	13.690692
510000		1.430210e-07	13.709765
520000		1.400757e-07	13.728839
530000		1.372421e-07	13.747912
540000		1.345140e-07	13.766986
550000		1.318855e-07	13.786059
560000		1.293515e-07	13.805133
570000		1.269068e-07	13.824206
580000		1.245469e-07	13.843280
590000		1.222675e-07	13.862353
600000		1.200645e-07	13.881427
603975		1.192092e-07	13.889009
Total time 1/n = 0.003833 seconds
