Double Precision: Infinite Series summation of 1/n^2
Iteration	Residual	sum
     10000	6.079641e-09	1.644834071848065
     20000	1.519864e-09	1.644884068098209
     30000	6.754882e-10	1.644900734070444
     40000	3.799602e-10	1.644909067160726
     50000	2.431738e-10	1.644914067048242
     60000	1.688704e-10	1.644917400320469
     70000	1.240678e-10	1.644919781236007
     80000	9.498933e-11	1.644921566926371
     90000	7.505324e-11	1.644922955798864
    100000	6.079308e-11	1.644924066898242
    110000	5.024219e-11	1.644924975980476
    120000	4.221737e-11	1.644925733549636
    130000	3.597219e-11	1.644926374570147
    140000	3.101682e-11	1.644926924016619
    150000	2.701909e-11	1.644927400203800
    160000	2.374724e-11	1.644927816867774
    170000	2.103562e-11	1.644928184512593
    180000	1.876325e-11	1.644928511308113
    190000	1.684014e-11	1.644928803704194
    200000	1.519822e-11	1.644929066860741
    210000	1.378523e-11	1.644929304954825
    220000	1.256051e-11	1.644929521404032
    230000	1.149204e-11	1.644929719031616
    240000	1.055432e-11	1.644929900190262
    250000	9.726857e-12	1.644930066856247
    260000	8.993025e-12	1.644930220701793
    270000	8.339211e-12	1.644930363151416
    280000	7.754189e-12	1.644930495426068
    290000	7.228637e-12	1.644930618578342
    300000	6.754759e-12	1.644930733520478
    310000	6.325997e-12	1.644930841047004
    320000	5.936799e-12	1.644930941853141
    330000	5.582445e-12	1.644931036549818
    340000	5.258894e-12	1.644931125676118
    350000	4.962679e-12	1.644931209709488
    360000	4.690803e-12	1.644931289074339
    370000	4.440673e-12	1.644931364149209
    380000	4.210028e-12	1.644931435272770
    390000	3.996897e-12	1.644931502748976
    400000	3.799550e-12	1.644931566851380
    410000	3.616466e-12	1.644931627826841
    420000	3.446304e-12	1.644931685898709
    430000	3.287874e-12	1.644931741269563
    440000	3.140124e-12	1.644931794123562
    450000	3.002113e-12	1.644931844628500
    460000	2.873005e-12	1.644931892937571
    470000	2.752050e-12	1.644931939190942
    480000	2.638576e-12	1.644931983517087
    490000	2.531978e-12	1.644932026034010
    500000	2.431711e-12	1.644932066850254
    510000	2.337285e-12	1.644932106065866
    520000	2.248254e-12	1.644932143773184
    530000	2.164214e-12	1.644932180057588
    540000	2.084800e-12	1.644932214998124
    550000	2.009679e-12	1.644932248668096
    560000	1.938545e-12	1.644932281135570
    570000	1.871123e-12	1.644932312463836
    580000	1.807157e-12	1.644932342711821
    590000	1.746417e-12	1.644932371934445
    600000	1.688688e-12	1.644932400182986
    610000	1.633775e-12	1.644932427505346
    620000	1.581498e-12	1.644932453946340
    630000	1.531690e-12	1.644932479547935
    640000	1.484198e-12	1.644932504349482
    650000	1.438882e-12	1.644932528387909
    660000	1.395610e-12	1.644932551697898
    670000	1.354261e-12	1.644932574312067
    680000	1.314722e-12	1.644932596261113
    690000	1.276891e-12	1.644932617573954
    700000	1.240669e-12	1.644932638277858
    710000	1.205966e-12	1.644932658398554
    720000	1.172700e-12	1.644932677960343
    730000	1.140791e-12	1.644932696986193
