Single Precision: Infinite Series summation of 1/n^2
Iteration	Residual	sum
100		6.116267e-05	 1.634984
200		1.524440e-05	 1.639947
300		6.768438e-06	 1.641606
400		3.805321e-06	 1.642437
500		2.434666e-06	 1.642936
600		1.690398e-06	 1.643269
700		1.241745e-06	 1.643506
800		9.506081e-07	 1.643685
900		7.510342e-07	 1.643824
1000		6.082966e-07	 1.643935
1100		5.026969e-07	 1.644025
1200		4.223855e-07	 1.644101
1300		3.598885e-07	 1.644165
1400		3.103016e-07	 1.644220
1500		2.702993e-07	 1.644268
1600		2.375618e-07	 1.644309
1700		2.104308e-07	 1.644345
1800		1.876950e-07	 1.644381
1900		1.684547e-07	 1.644408
2000		1.520282e-07	 1.644432
2100		1.378920e-07	 1.644456
2200		1.256395e-07	 1.644480
2259		1.191613e-07	 1.644494
Total time 1/n^2= 0.000067 seconds
